family,workload,kind,duration_s,rep,apf_mean,apf_cov,apf_max,duty_gt05,n_windows,wr_rate_mbs,wr_total_mb,rd_rate_mbs,rd_total_mb,rd_frac
ransomware,sandbox_ransom_seq,threat,120,1,0.24361104231614333,0.2933071307552765,0.37137603759765625,1.0,12,79.6286,17275.74,40.1944,8513.96,0.3301
ransomware,sandbox_ransom_seq,threat,120,2,0.36265422022619914,0.29141202596785715,0.5319290161132812,1.0,9,71.4802,18291.67,37.7943,8327.57,0.3128
ransomware,sandbox_ransom_seq,threat,300,1,0.3502805281658562,0.3048171355083401,0.5516891479492188,1.0,11,59.5793,20551.78,31.4253,8363.4,0.2892
ransomware,sandbox_ransom_seq,threat,300,2,0.35628362802358776,0.2788694875615619,0.5353164672851562,1.0,15,63.4805,29877.41,33.7855,13025.82,0.3036
ransomware,sandbox_ransom_seq,threat,600,1,0.3271668045609086,0.3634171145843866,0.5395393371582031,0.9907407407407407,26,44.9028,43016.81,24.7014,20918.32,0.3272
ransomware,sandbox_ransom_seq,threat,600,2,0.26316917467417206,0.40633997451486403,0.5281715393066406,0.9874213836477987,38,35.3477,59984.61,21.7852,29362.51,0.3286
ransomware,sandbox_ransom_slowburn,threat,120,1,0.002633248606035786,6.194637367587192,0.22259140014648438,0.005376344086021506,45,0.5281,259.88,0.0003,0.16,0.0006
ransomware,sandbox_ransom_slowburn,threat,120,2,0.0026663719339573635,6.0812971515400935,0.22250747680664062,0.005319148936170213,46,0.4665,260.23,0.0005,0.29,0.0011
ransomware,sandbox_ransom_slowburn,threat,300,1,0.0017659107673857401,5.946583484613992,0.22328948974609375,0.0021413276231263384,115,0.1937,327.93,0.0083,10.48,0.031
ransomware,sandbox_ransom_slowburn,threat,300,2,0.0018152310612887272,5.791222067930325,0.2231597900390625,0.002145922746781116,115,0.2075,326.01,0.0083,10.48,0.0311
ransomware,sandbox_ransom_slowburn,threat,600,1,0.001651557606831588,6.191299932241693,0.2228546142578125,0.0021208907741251328,234,0.2149,600.64,0.0041,10.49,0.0172
ransomware,sandbox_ransom_slowburn,threat,600,2,0.0016668150748107324,6.120060143351766,0.2232818603515625,0.0021344717182497333,233,0.1495,438.58,0.0011,4.06,0.0092
scanner,sandbox_scanner_metadata,threat,120,1,0.039449166278449854,0.07549186073940252,0.0545196533203125,0.00510204081632653,48,0.2768,143.76,0.0086,4.37,0.0295
scanner,sandbox_scanner_metadata,threat,120,2,0.039173126220703125,0.09524844615777803,0.04998779296875,0.0,24,0.34,119.24,0.0054,1.43,0.0118
scanner,sandbox_scanner_metadata,threat,300,1,0.03898488796823393,0.06783407742927819,0.0567474365234375,0.008130081300813009,122,0.2385,308.07,0.0108,13.77,0.0428
scanner,sandbox_scanner_metadata,threat,300,2,0.03899834066563621,0.07705378208416479,0.053447723388671875,0.008830022075055188,112,0.2688,343.01,0.0033,4.13,0.0119
scanner,sandbox_scanner_metadata,threat,600,1,0.039371050941515676,0.07301769855838865,0.055850982666015625,0.005285412262156448,235,0.257,658.21,0.0018,5.35,0.0081
scanner,sandbox_scanner_metadata,threat,600,2,0.0391026630906612,0.06340179822667565,0.05442047119140625,0.003054989816700611,244,0.2343,605.34,0.0021,5.34,0.0087
